Time,BTC average daily block size,Price
2010-11-26,2372.339805825243,0.2844
2010-11-27,975.4754098360655,0.28300000000000003
2010-11-28,855.2608695652174,0.2710819672131145
2010-11-29,572.3253588516747,0.23305
2010-11-30,623.9817351598174,0.2082
2010-12-01,864.8719512195122,0.2275
2010-12-02,733.9113300492611,0.255
2010-12-03,641.2279792746114,0.25105
2010-12-04,644.7767441860465,0.206
2010-12-05,550.1171548117155,0.195
2010-12-06,502.81742738589213,0.204
2010-12-07,670.0869565217391,0.2366
2010-12-08,700.7699115044247,0.2388
2010-12-09,583.1185770750989,0.192105
2010-12-10,769.9240506329114,0.20385
2010-12-11,877.0409356725146,0.228
2010-12-12,860.0955056179776,0.22
2010-12-13,1505.5064935064936,0.2299
2010-12-14,1410.5286624203823,0.24669
2010-12-15,984.728813559322,0.24
2010-12-16,787.4385026737968,0.24996
2010-12-17,827.8806818181819,0.24
2010-12-18,1013.7307692307693,0.241
2010-12-19,1047.608938547486,0.2401
2010-12-20,1609.7356321839081,0.267
2010-12-21,844.6844919786096,0.24
2010-12-22,1303.03125,0.25
2010-12-23,1214.4125874125873,0.24875250000000002
2010-12-24,1062.1830065359477,0.248
2010-12-25,874.2962962962963,0.2499
2010-12-26,1195.3521126760563,0.265
2010-12-27,986.3046357615895,0.265
2010-12-28,1162.9106145251396,0.281
2010-12-29,1041.6511627906978,0.2998
2010-12-30,1068.69375,0.3
2010-12-31,1036.5670731707316,0.3
2011-01-01,972.8729281767955,0.3
2011-01-02,1025.2967032967033,0.29997
2011-01-03,1718.9685534591194,0.295
2011-01-04,2568.205479452055,0.29895
2011-01-05,2010.3020134228188,0.29892
2011-01-06,1998.6824324324325,0.298
2011-01-07,1414.013986013986,0.32
2011-01-08,2078.789189189189,0.3229
2011-01-09,2058.909090909091,0.32299999999999995
2011-01-10,2312.7714285714287,0.32659
2011-01-11,2319.874213836478,0.32659
2011-01-12,2163.14375,0.3188
2011-01-13,1870.413612565445,0.3176
2011-01-14,2141.764367816092,0.4
2011-01-15,1861.7906976744187,0.386
2011-01-16,1902.971590909091,0.38679
2011-01-17,1367.923076923077,0.3495
2011-01-18,1740.0062111801242,0.31299
2011-01-19,1705.1656441717791,0.31299
2011-01-20,1501.8275862068965,0.39
2011-01-21,1720.1075268817203,0.419905
2011-01-22,3202.707006369427,0.44399
2011-01-23,2165.063583815029,0.4424
2011-01-24,2568.91061452514,0.4199
2011-01-25,1938.65625,0.41
2011-01-26,1619.3118279569892,0.41367
2011-01-27,1813.735294117647,0.4212
2011-01-28,1953.1210191082803,0.446
2011-01-29,2907.7933333333335,0.439
2011-01-30,3880.472392638037,0.47985
2011-01-31,5779.716129032258,0.5501
2011-02-01,2201.078651685393,0.70773
2011-02-02,2546.746753246753,0.716
2011-02-03,1625.879746835443,0.69639
2011-02-04,1589.8370786516855,0.8109999999999999
2011-02-05,1490.1692307692308,0.90735
2011-02-06,1550.7719298245613,0.8968
2011-02-07,1457.7676767676767,0.89
2011-02-08,1561.3559322033898,0.918
2011-02-09,1612.2673796791444,1.084495
2011-02-10,3304.810810810811,0.9751549999999999
2011-02-11,3846.244680851064,1.0700049999999999
2011-02-12,3198.535135135135,1.0799
2011-02-13,2584.948598130841,1.05
2011-02-14,3636.398936170213,1.0753366666666668
2011-02-15,3474.6698564593303,1.05
2011-02-16,2700.560538116592,1.028624
2011-02-17,2763.4453441295545,1.04
2011-02-18,2911.0,0.8989
2011-02-19,3680.59217877095,0.94898
2011-02-20,2594.769230769231,0.85
2011-02-21,3051.0418848167537,0.8345
2011-02-22,2958.411214953271,0.87023
2011-02-23,3099.6708860759495,0.9
2011-02-24,2809.552036199095,0.993715
2011-02-25,2903.1473214285716,0.9111
2011-02-26,2652.369294605809,0.958
2011-02-27,2352.507042253521,0.89
2011-02-28,3792.6807228915663,0.8701
2011-03-01,4801.455223880597,0.92022
2011-03-02,5428.073619631902,0.9399
2011-03-03,4755.827777777778,0.93909
2011-03-04,3666.4851485148515,0.9012
2011-03-05,2735.5785123966944,0.9103
2011-03-06,2817.5592592592593,0.8866299999999999
2011-03-07,2694.8110236220473,0.88502
2011-03-08,4435.435,0.8699899999999999
2011-03-09,3801.9625,0.86449
2011-03-10,4238.683333333333,0.9329
2011-03-11,5209.5546875,0.88
2011-03-12,6101.5,0.918
2011-03-13,5770.322834645669,0.89249
